id,name,code,numeric_code,state_id/id,type_id/id,division_id/id,region_id/id,country_id/id
hc_base.city_us_ca_07162,Blue Lake,BLK,07162,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08758,Buellton,BLTN,08758,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_05164,Belvedere,BLV,05164,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_07218,Blythe,BLY,07218,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_05108,Belmont,BMT,05108,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_07064,Bloomington,BMTN,07064,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_07414,Bonita,BONT,07414,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_07624,Bostonia,BOST,07624,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08786,Buena Park,BPK,08786,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08954,Burbank,BRB,08954,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08100,Brea,BRE,08100,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08058,Brawley,BRW,08058,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08310,Brisbane,BSBN,08310,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_04030,Barstow,BSW,04030,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_08142,Brentwood,BTWD,08142,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_09066,Burlingame,BURL,09066,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_06308,Beverly Hills,BVHS,06308,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03666,Baldwin Park,BWP,03666,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_04541,Baywood-Los Osos,BYWD,04541,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_11691,Casa De Oro-Mount Helix,CADE,11691,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_11390,Carmichael,CAEL,11390,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_90310,Calabasas,CAL,90310,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_09780,California City,CALC,09780,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_10564,Camp Pendleton South,CAMA,10564,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_10559,Camp Pendleton North,CAMN,10559,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_10256,Cameron Park,CAPA,10256,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_11446,Carpinteria,CARP,11446,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_11964,Castro Valley,CAVA,11964,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_11194,Carlsbad,CBD,11194,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_17498,Cudahy,CDHY,17498,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_12524,Ceres,CER,12524,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
